City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
419,Polis,CY,76.82,35.0367,32.4264,Marion
421,Hamilton,US,85.98,39.1834,-84.5333,Six Acres Bed & Breakfast
423,Amalapuram,IN,77.56,16.5833,82.0167,swayamprabha service apartments
424,Siderno,IT,80.33,38.2779,16.302,Grand Hotel President
431,Nagato,JP,76.95,34.3833,131.2,いそう庵
434,Binzhou,CN,80.31,37.3667,118.0167,Hampton By Hilton Binzhou
438,Denpasar,ID,78.46,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
439,Mersing,MY,76.46,2.4312,103.8405,Timotel Hotel
444,Dhidhdhoo,MV,81.81,6.8833,73.1,Dhidhoo beach
448,Bathsheba,BB,83.01,13.2167,-59.5167,Atlantis Hotel
456,Yecla,ES,84.36,38.6137,-1.1147,Hotel Avenida
457,Nueva Gerona,CU,85.08,21.8833,-82.8,Villa Gerona
458,El Tocuyo,VE,82.26,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
459,Upata,VE,75.2,8.0086,-62.3989,Posada Villa Nela
464,Agadir,MA,84.65,30.4202,-9.5982,Iberostar Founty Beach
466,Bud,US,84.22,39.446999999999996,-86.1758,Ted McQuinn Trust
467,Kinablangan,PH,76.33,7.6947,126.5503,Danny Moreno Property
468,Semnan,IR,83.01,35.5729,53.3971,Semnan Tourist Hotel
469,Dwarka,IN,83.35,22.2394,68.9678,Hotel Narayan Avezika Comfort
470,Mumford,GH,76.1,5.2618,-0.759,Spanish Villa
474,Ternate,ID,79.7,0.8,127.4,Grand Dafam Bela Ternate
477,Ormond Beach,US,86.09,29.2858,-81.0559,Makai Beach Lodge
478,Aklavik,CA,76.41,68.2191,-135.0107,Aklavik Inn
483,Nishihara,JP,81.68,26.1842,127.7558,Minshuku Agaihama
484,Soure,BR,78.19,-0.7167,-48.5233,Casarão da Amazônia
485,Tuy Hoa,VN,76.14,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
487,Gillette,US,84.24,44.2911,-105.5022,National 9 Inn - Gillette WY
488,Marinette,US,81.3,45.1,-87.6307,AmericInn by Wyndham Menominee
489,Tamandare,BR,75.58,-8.7597,-35.1047,Pousada 100 Passos
500,Pocosol,CR,82.81,10.3667,-84.6167,"Heliconias Nature Lodge, Arenal Volcano, Costa Rica"
508,Samarai,PG,79.48,-10.6167,150.6667,Nuli Sapi
511,Bodden Town,KY,88.0,19.2833,-81.25,Will T Place
513,Rolla,US,77.14,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
516,Careiro Da Varzea,BR,84.83,-3.2003,-59.8119,POUSADA DA ALDENORA
519,Porto Novo,BJ,77.23,6.4965,2.6036,Tour Eiffel Hotel Benin
520,Goderich,CA,77.2,43.7501,-81.7165,Harmony Inn
526,Lawrenceburg,US,83.12,38.0373,-84.8966,Best Western Lawrenceburg Inn
528,Brenham,US,82.89,30.1669,-96.3977,Hampton Inn & Suites Brenham
529,Almansa,ES,79.65,38.8692,-1.0971,Hotel Blu
532,Natal,BR,76.68,-5.795,-35.2094,Villa Park Hotel | Natal
535,Pasan,IN,76.1,22.85,82.2,Ashok Hotel
537,Harper,LR,76.64,4.375,-7.7169,Screensaver
542,Gushikawa,JP,81.63,26.3544,127.8686,Kirari Guest House
543,Praia,CV,75.74,14.9215,-23.5087,LT Aparthotel
551,Thinadhoo,MV,81.43,0.5333,72.9333,
552,Suozhen,CN,80.96,36.9539,118.1047,Jianguo Hotel
556,Majitha,IN,76.89,31.7583,74.9544,Jassar's PG for Girls- PG for Girls in Amritsar
558,Gao,ML,86.85,16.6362,1.6369999999999998,
560,Nova Russas,BR,85.71,-4.7067,-40.5631,palace motel
566,San Cristobal,VE,75.38,7.7669,-72.225,Posada Villaven C.A.
571,Itarema,BR,79.79,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
574,Sulangan,PH,83.68,11.1373,123.7228,Maia's Beach Resort
577,Hoshiarpur,IN,81.63,31.5322,75.9172,Hotel Fine Dining
580,Santa Helena,BR,76.77,-2.2311,-45.3,Turi Plaza Hotel
581,Yenagoa,NG,75.02,4.9247,6.2642,Aridolf Resort Wellness and Spa
592,Kieta,PG,80.64,-6.2167,155.6333,Uruna Bay Retreat
593,Riviera Beach,US,83.07,26.7753,-80.0581,Marriott's Ocean Pointe
594,Aksarayskiy,RU,78.75,46.7924,48.0119,
597,Manacapuru,BR,84.78,-3.2997,-60.6206,Novo Hotel
598,Ambasamudram,IN,78.15,8.7,77.4667,Hotel Baskar
600,Tezu,IN,75.81,27.9167,96.1667,Circuit House
602,Saint Anthony,US,85.71,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
604,Sankheda,IN,83.03,22.1667,73.5833,Kavya Roy
605,Oneida,US,78.44,43.2001,-75.4663,Wingate By Wyndham Rome
610,Cabra,ES,80.04,37.4725,-4.4421,MS Fuente Las Piedras
611,Zhanakorgan,KZ,79.63,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
616,Bom Jesus,BR,83.46,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
618,Jacareacanga,BR,84.87,-6.2222,-57.7528,Casa do Ian😎
623,Tautira,PF,86.02,-17.7333,-149.15,Pension Oaoa
624,Guanica,PR,87.51,17.9716,-66.908,Copamarina Beach Resort & Spa
625,Harqalah,TN,87.66,36.0303,10.509,Dar Khadija
627,Port-Gentil,GA,75.78,-0.7193,8.7815,Fengshui Residence
629,Lakatoro,VU,80.62,-16.0999,167.4164,Lakatoro Palm Lodge
631,Podgorica,ME,78.58,42.4411,19.2636,Hotel Podgorica
632,Bairiki,KI,86.0,1.3292,172.9752,Tarawa Boutique Hotel
637,Leon,MX,77.05,21.1167,-101.6667,Hotel Misión León
638,Ipixuna,BR,75.15,-1.7625,-48.8043,Casa da Oscarina
640,Chapais,CA,79.29,49.7834,-74.8492,Hôtel Opémiska
643,Levelland,US,85.19,33.5873,-102.37799999999999,"Holiday Inn Express & Suites Levelland, an IHG Hotel"
644,Labuhan,ID,75.87,-6.8844,112.2051,PT PPI Lamongan Tambak C
645,Marsh Harbour,BS,83.17,26.5412,-77.0636,Abaco Beach Resort
651,Oranjestad,AW,84.15,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
657,Mahdasht,IR,80.82,35.7299,50.8111,مشاور املاک مهدی
660,Kulhudhuffushi,MV,81.72,6.6221,73.07,Hondaafushi Island Resort
664,Ypsonas,CY,79.99,34.6884,32.9574,Club Aphrodite
665,Wajima,JP,75.06,37.4,136.9,Wajiima Onsen Yashio
667,Gat,IL,82.4,31.61,34.7642,OlusHome
669,Sabha,LY,84.97,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
672,Calderitas,MX,89.71,18.55,-88.25,Hotel Hacienda Campestre
