City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
80,Khatanga,RU,2021-04-19 14:07:45,71.9667,102.5,-6.72,99,37,2.15
81,Port Hedland,AU,2021-04-19 14:07:45,-20.3167,118.5667,75.2,69,40,5.75
82,Lata,PT,2021-04-19 14:07:45,40.1629,-8.3327,66.99,54,100,8.01
83,Santa Isabel Do Rio Negro,BR,2021-04-19 14:07:46,-0.4139,-65.0192,77.32,91,98,3.69
84,Castro,BR,2021-04-19 14:06:28,-24.7911,-50.0119,61.7,77,98,6.31
85,Maurawan,IN,2021-04-19 14:07:46,26.4333,80.8833,93.2,24,1,3.44
86,Carnarvon,AU,2021-04-19 14:07:46,-24.8667,113.6333,75.04,66,0,28.01
87,Las Choapas,MX,2021-04-19 14:07:47,17.9333,-94.0833,74.61,85,98,8.52
88,Kazachinskoye,RU,2021-04-19 14:07:47,57.6953,93.2761,19.45,81,100,16.78
89,Clyde River,CA,2021-04-19 14:07:47,70.4692,-68.5914,6.8,85,90,24.16
90,Busselton,AU,2021-04-19 14:07:48,-33.65,115.3333,59.0,97,96,11.95
91,Fort Nelson,CA,2021-04-19 14:07:48,58.8053,-122.7002,26.6,80,1,4.61
92,Beni,CD,2021-04-19 14:07:08,0.5,29.4667,71.2,72,100,4.0
93,Bambous Virieux,MU,2021-04-19 14:07:48,-20.3428,57.7575,82.4,74,75,8.05
94,Paamiut,GL,2021-04-19 14:07:49,61.994,-49.6678,33.93,75,100,17.67
95,Narsaq,GL,2021-04-19 14:07:49,60.9167,-46.05,37.4,32,40,4.61
96,Sergeyevka,KZ,2021-04-19 14:07:49,53.88,67.4158,29.52,39,30,8.14
97,Tooele,US,2021-04-19 14:07:50,40.5308,-112.2983,52.0,40,1,12.66
98,Romny,UA,2021-04-19 14:07:50,50.751,33.4747,52.38,58,90,5.23
99,Puerto Ayora,EC,2021-04-19 14:07:50,-0.7393,-90.3518,77.0,88,75,11.5
100,Larnaca,CY,2021-04-19 14:07:51,34.9167,33.6292,84.2,61,0,3.44
101,Dikson,RU,2021-04-19 14:07:51,73.5069,80.5464,8.08,88,100,16.91
102,Cape Town,ZA,2021-04-19 14:06:13,-33.9258,18.4232,75.2,46,20,16.11
103,Artigas,UY,2021-04-19 14:07:51,-30.4,-56.4667,73.13,57,5,15.41
104,Berezovka,BY,2021-04-19 14:07:52,53.7214,25.4993,53.46,57,100,9.35
105,Lompoc,US,2021-04-19 14:07:52,34.6391,-120.4579,46.4,100,1,4.61
106,Najran,SA,2021-04-19 14:07:52,17.4924,44.1277,89.6,14,0,11.5
107,Reconquista,AR,2021-04-19 14:03:03,-29.15,-59.65,74.89,63,0,9.69
108,Acari,PE,2021-04-19 14:07:53,-15.4311,-74.6158,76.42,65,10,5.37
109,Bilma,NE,2021-04-19 14:07:53,18.6853,12.9164,105.84,4,3,6.46
110,Avarua,CK,2021-04-19 14:07:53,-21.2078,-159.775,78.8,69,20,9.22
111,Saint-Pierre,RE,2021-04-19 14:07:53,-21.3393,55.4781,77.0,88,90,17.27
112,Karratha,AU,2021-04-19 14:07:54,-20.7377,116.8463,81.66,48,0,8.86
